taxonID,commonName,latinName,kingdomCommon,phylumCommon,classCommon,orderCommon,familyCommon,genusCommon,speciesCommon,subspeciesCommon,kingdomLatin,phylumLatin,classLatin,orderLatin,familyLatin,genusLatin,speciesLatin,subspeciesLatin
161974a,Unknown salmon (not steelhead),Oncorhynchus,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,Pacific salmons,,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,,
161975,Pink salmon,Oncorhynchus gorbuscha,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Pink salmon,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,
161977,Coho salmon,Oncorhynchus kisutch,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Coho salmon,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,
161979,Kokanee / sockeye salmon,Oncorhynchus nerka,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Kokanee / sockeye salmon,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,nerka,
161980,Chinook salmon,Oncorhynchus tshawytscha,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Chinook salmon,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,tschawytscha,
161989,Steelhead / rainbow trout,Oncorhynchus mykiss,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Steelhead / rainbow trout,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,
161997,Brown trout,Salmo trutta,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Brown trout,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,
162003,Brook trout,Salvelinus fontinalis,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,Chars,Brook trout,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,
162032,Delta smelt,Hypomesus transpacificus,Animals,Chordates,Spiny rayed fishes,Smelts,Smelts,Smallmouth smelts,Delta smelt,,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,transpacificus,
162033,Wakasagi / Japanese smelt,Hypomesus nipponensis,Animals,Chordates,Spiny rayed fishes,Smelts,Smelts,,Wakasagi / Japanese smelt,,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,nipponensis,
163342,Unknown minnow,,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,,
163344,Common carp,Cyprinus carpio,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Common carp,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,
163350,Goldfish,Carassius auratus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Goldfish,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,
163368,Golden shiner,Notemigonus crysoleucas,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Golden shiner,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas,
163387,Speckled dace,Rhinichthys osculus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Speckled dace,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,osculus,
163517,Fathead minnow,Pimephales promelas,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Fathead minnow,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas,
163524,Sacramento pikeminnow,Ptychocheilus grandis,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Sacramento pikeminnow,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,grandis,
163565,California roach,Hesperoleucus symmetricus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,California roach,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hesperoleucus,symmetricus,
163569,Hitch,Lavinia exilicauda,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Hitch,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Lavinia,exilicauda,
163587,Hardhead,Mylopharodon conocephalus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Hardhead,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Mylopharodon,conocephalus,
163589,Sacramento blackfish,Orthodon microlepidotus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Sacramento blackfish,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Orthodon,microlepidotus,
163603,Splittail,Pogonichthys macrolepidotus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Splittail,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pogonichthys,macrolepidotus,
163792,Red shiner,Cyprinella lutrensis,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Red shiner,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,lutrensis,
163892,Sucker,Catostomidae,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Suckers,,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,,,
163908,Sacramento sucker,Catostomus occidentalis,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Suckers,,Sacramento sucker,,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,occidentalis,
163995,Unknown catfish or bullhead,,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,,,
163998,Channel catfish,Ictalurus punctatus,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,Channel catfish,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus punctatus,Ictalurus punctatus,
164034,Bullhead,Ameiurus,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,,
164037,White catfish,Ameiurus catus,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,White catfish,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,catus,
164039,Black bullhead,Ameiurus melas,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,Black bullhead,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,melas,
164041,Yellow bullhead,Ameiurus natalis,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,Yellow bullhead,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,natalis,
164043,Brown bullhead,Ameiurus nebulosus,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,Brown bullhead,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nabulosus,
165679,Rainwater killifish,Lucania parva,Animals,Chordates,Spiny rayed fishes,Topminnows,Topminnows,,Rainwater killifish,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Lucania,parva,
165877,Mosquitofish,Gambusia,Animals,Chordates,Spiny rayed fishes,Cyprinodonts,Livebearers,,Mosquitofish,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,,
165878,Western mosquitofish,Gambusia affinis,Animals,Chordates,Spiny rayed fishes,Cyprinodonts,Livebearers,,Western mosquitofish,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,
165993,Inland silverside,Menidia beryllina,Animals,Chordates,Spiny rayed fishes,Silversides,New World silversides,,Inland silverside,,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Menidia,beryllina,
165998,Mississippi silverside,Menidia audens,Animals,Chordates,Spiny rayed fishes,Silversides,New World silversides,,Mississippi silverside,,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Menidia,audens,
166365,Threespine stickleback,Gasterosteus aculeatus,Animals,Chordates,Spiny rayed fishes,Pipefishes and sticklebacks,Sticklebacks,,Threespine stickleback,,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,
167229,Unknown sculpin (Cottus),Cottus sp.,Animals,Chordates,Spiny rayed fishes,Scorpion fishes,Sculpins,,,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,,
167233,Prickly sculpin,Cottus asper,Animals,Chordates,Spiny rayed fishes,Scorpion fishes,Sculpins,,Prickly sculpin,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,asper,
167234,Riffle sculpin,Cottus gulosus,Animals,Chordates,Spiny rayed fishes,Scorpion fishes,Sculpins,,Riffle sculpin,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,gulosus,
167680,Striped bass,Morone saxatilis,Animals,Chordates,Spiny rayed fishes,Perciforms,Temperate basses,,Striped bass,,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,saxatilis,
168093,Unknown Centrarchid,,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,,
168093a,Unknown Centrarchid hybrid,,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,,
168130,Unknown sunfish (Lepomis),Lepomis sp.,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,,
168130a,Lepomis hybrid,Lepomis,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Lepomis hybrid,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,,
168132,Green sunfish,Lepomis cyanellus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Green sunfish,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,cyanellus,
168139,Warmouth,Lepomis gulosus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Warmouth,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gulosus,
168141,Bluegill,Lepomis macrochirus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Bluegill,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,
168144,Pumpkinseed,Lepomis gibbosus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Pumpkinseed,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gibbosus,
168154,Redear sunfish,Lepomis microlophus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Redear sunfish,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,microlophus,
168158,Unknown bass (Micropterus),Micropterus sp.,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,,
168160,Largemouth bass,Micropterus salmoides,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Largemouth bass,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides,
168161,Spotted bass,Micropterus punctulatus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Spotted bass,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,punctulatus,
168163,Redeye bass,Micropterus coosae,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Redeye bass,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,coosae,
168165,Unknown crappie (Pomoxis),Pomoxis sp.,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,,
168166,White crappie,Pomoxis annularis,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,White crappie,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,annularis,
168167,Black crappie,Pomoxis nigromaculatus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Black crappie,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,
168175,Sacramento perch,Archoplites interruptus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Sacramento perch,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Archoplites,interruptus,
168487,Bigscale logperch,Percina macrolepida,Animals,Chordates,Spiny rayed fishes,Perciforms,Perches,,Bigscale logperch,,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,macrolepida,
171882,Yellowfin goby,Acanthogobius flavimanus,Animals,Chordates,Spiny rayed fishes,Perciforms,Gobies,Asian gobies,Yellowfin goby,,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Acanthogobius,flavimanus,
550562,Smallmouth bass,Micropterus dolomieu,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Smallmouth bass,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,dolomieu,
553322,Tule perch,Hysterocarpus traskii,Animals,Chordates,Spiny rayed fishes,Perciforms,Surfperches,,Tule perch,,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hysterocarpus,traskii,
622248,River lamprey,Lampetra ayresii,Animals,Chordates,Lampreys,Lampreys,Lampreys,,River lamprey,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,ayresii,
251,Not Recorded,,,,,,,,,,,,,,,,,
