code,commonName,latinName,kingdomCommon,phylumCommon,classCommon,orderCommon,familyCommon,genusCommon,speciesCommon,subspeciesCommon,kingdomLatin,phylumLatin,classLatin,orderLatin,familyLatin,genusLatin,speciesLatin,subspecieslatin
164043,Brown bullhead,Ameiurus nebulosus,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,Brown bullhead,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nabulosus,
161997,Brown trout,Salmo trutta,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Brown trout,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,
164034,Bullhead,Ameiurus,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,,
163565,California roach,Hesperoleucus symmetricus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,California roach,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hesperoleucus,symmetricus,
163998,Channel catfish,Ictalurus punctatus,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,Channel catfish,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus punctatus,Ictalurus punctatus,
161977,Coho salmon,Oncorhynchus kisutch,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Coho salmon,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,
163344,Common carp,Cyprinus carpio,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Common carp,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,
162032,Delta smelt,Hypomesus transpacificus,Animals,Chordates,Spiny rayed fishes,Smelts,Smelts,Smallmouth smelts,Delta smelt,,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,transpacificus,
163517,Fathead minnow,Pimephales promelas,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Fathead minnow,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas,
161067,Green sturgeon,Acipenser medirostris,Animals,Chordates,Spiny rayed fishes,Sturgeons,Sturgeons,,Green sturgeon,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,medirostris,
165993,Inland silverside,Menidia beryllina,Animals,Chordates,Spiny rayed fishes,Silversides,New World silversides,,Inland silverside,,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Menidia,beryllina,
161979,Kokanee / sockeye salmon,Oncorhynchus nerka,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Kokanee / sockeye salmon,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,nerka,
161975,Pink salmon,Oncorhynchus gorbuscha,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Pink salmon,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,
163792,Red shiner,Cyprinella lutrensis,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Red shiner,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,lutrensis,
161931,Salmonid,Salmonidae,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,,,,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,,,
167680,Striped bass,Morone saxatilis,Animals,Chordates,Spiny rayed fishes,Perciforms,Temperate basses,,Striped bass,,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,saxatilis,
161064,Sturgeon,Acipenseridae,Animals,Chordates,Spiny rayed fishes,Sturgeons,Sturgeons,,,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,
161738,Threadfin shad,Dorosoma petenense,Animals,Chordates,Spiny rayed fishes,Anchovies,Herrings,,Threadfin shad,,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma,petenense,
166365,Threespine stickleback,Gasterosteus aculeatus,Animals,Chordates,Spiny rayed fishes,Pipefishes and sticklebacks,Sticklebacks,,Threespine stickleback,,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,
161030,Unknown bony fish,,Animals,Chordates,Spiny rayed fishes,,,,,,Animalia,Chordata,Actinopterygii,,,,,
163995,Unknown catfish or bullhead,,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,,,
168165,Unknown crappie (Pomoxis),Pomoxis sp.,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,,
159707,Western brook lamprey,Lampetra richardsoni,Animals,Chordates,Lampreys,Lampreys,Lampreys,,Western brook lamprey,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,richardsoni,
165878,Western mosquitofish,Gambusia affinis,Animals,Chordates,Spiny rayed fishes,Cyprinodonts,Livebearers,,Western mosquitofish,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,
164037,White catfish,Ameiurus catus,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,White catfish,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,catus,
161068,White sturgeon,Acipenser transmontanus,Animals,Chordates,Spiny rayed fishes,Sturgeons,Sturgeons,,White sturgeon,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,
164041,Yellow bullhead,Ameiurus natalis,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,Yellow bullhead,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,natalis,
251,Not Recorded,,,,,,,,,,,,,,,,,
